thai_name,prov_name
พิจิตร,Phichit
ชุมพร,Chumphon
ภูเก็ต,Phuket
ฉะเชิงเทรา,Chachoengsao
นครศรีธรรมราช,Nakhon Si Thammarat
หนองบัวลำภู,Nong Bua Lam Phu
นราธิวาส,Narathiwat
สตูล,Satun
ลพบุรี,Lop Buri
กระบี่,Krabi
สมุทรสงคราม,Samut Songkhram
สุพรรณบุรี,Suphan Buri
สุรินทร์,Surin
ปทุมธานี,Pathum Thani
อ่างทอง,Ang Thong
นครราชสีมา,Nakhon Ratchasima
ชัยนาท,Chai Nat
บุรีรัมย์,Buri Ram
พังงา,Phangnga
ตรัง,Trang
สุราษฎร์ธานี,Surat Thani
อำนาจเจริญ,Amnat Charoen
กาญจนบุรี,Kanchanaburi
จันทบุรี,Chanthaburi
เพชรบูรณ์,Phetchabun
หนองคาย,Nong Khai
สงขลา,Songkhla
สระบุรี,Saraburi
ระนอง,Ranong
พิษณุโลก,Phitsanulok
สุโขทัย,Sukhothai
น่าน,Nan
ปัตตานี,Pattani
สระแก้ว,Sa Kaeo
ราชบุรี,Ratchaburi
แม่ฮ่องสอน,Mae Hong Son
อุตรดิตถ์,Uttaradit
ระยอง,Rayong
นครนายก,Nakhon Nayok
ศรีสะเกษ,Si Sa Ket
อุบลราชธานี,Ubon Ratchathani
ยโสธร,Yasothon
ชลบุรี,Chon Buri
มหาสารคาม,Maha Sarakham
มุกดาหาร,Mukdahan
สมุทรปราการ,Samut Prakan
แพร่,Phrae
นนทบุรี,Nonthaburi
ร้อยเอ็ด,Roi Et
ประจวบคีรีขันธ์,Prachuap Khiri Khan
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
เชียงใหม่,Chiang Mai
ลำปาง,Lampang
กรุงเทพมหานคร,Bangkok
กาฬสินธุ์,Kalasin
เชียงราย,Chiang Rai
ลำพูน,Lamphun
นครสวรรค์,Nakhon Sawan
เลย,Loei
เพชรบุรี,Phetchaburi
พะเยา,Phayao
สกลนคร,Sakon Nakhon
ตาก,Tak
นครปฐม,Nakhon Pathom
ชัยภูมิ,Chaiyaphum
สมุทรสาคร,Samut Sakhon
ปราจีนบุรี,Prachin Buri
อุดรธานี,Udon Thani
สิงห์บุรี,Sing Buri
ขอนแก่น,Khon Kaen
นครพนม,Nakhon Phanom
อุทัยธานี,Uthai Thani
บึงกาฬ,Bueng Kan
กำแพงเพชร,Kamphaeng Phet
ยะลา,Yala
ตราด,Trat
พัทลุง,Phatthalung
